iter	Passed	Remaining
401	12675	18856
402	12700	18814
403	12722	18768
404	12746	18725
405	12769	18682
406	12793	18640
407	12818	18600
408	12838	18552
409	12867	18516
410	12894	18478
411	12916	18434
412	12942	18395
413	12976	18367
414	13006	18334
415	13035	18299
416	13073	18277
417	13111	18255
418	13140	18221
419	13165	18181
420	13193	18145
421	13219	18106
422	13252	18077
423	13283	18045
424	13314	18013
425	13344	17979
426	13380	17955
427	13399	17908
428	13419	17861
429	13441	17818
430	13461	17771
431	13491	17738
432	13521	17706
433	13552	17674
434	13579	17637
435	13607	17602
436	13633	17564
437	13661	17528
438	13688	17492
439	13712	17452
440	13741	17418
441	13770	17384
442	13798	17348
443	13830	17318
444	13865	17293
445	13898	17264
446	13930	17234
447	13962	17203
448	14005	17187
449	14044	17165
450	14077	17136
451	14115	17113
452	14150	17087
453	14176	17049
454	14205	17015
455	14235	16982
456	14262	16946
457	14289	16910
458	14317	16875
459	14349	16845
460	14369	16801
461	14392	16759
462	14423	16729
463	14455	16698
464	14496	16678
465	14529	16649
466	14554	16611
467	14580	16574
468	14607	16538
469	14633	16501
470	14663	16469
471	14690	16433
472	14719	16399
473	14749	16367
474	14780	16335
475	14807	16301
476	14836	16267
477	14863	16232
478	14892	16198
479	14919	16162
480	14947	16128
481	14976	16094
482	15004	16060
483	15036	16030
484	15065	15996
485	15098	15968
486	15127	15935
487	15157	15903
488	15188	15871
489	15216	15837
490	15249	15808
491	15280	15777
492	15310	15745
493	15346	15719
494	15376	15687
495	15400	15649
496	15427	15613
497	15449	15573
498	15479	15541
499	15506	15506
500	15533	15471
501	15563	15439
502	15589	15403
503	15619	15371
504	15646	15336
505	15675	15303
506	15702	15268
507	15729	15234
508	15766	15209
509	15799	15180
510	15823	15141
511	15847	15105
512	15875	15070
513	15900	15034
514	15924	14996
515	15944	14956
516	15965	14915
517	15986	14875
518	16012	14839
519	16035	14802
520	16062	14767
521	16087	14731
522	16122	14704
523	16153	14673
524	16184	14643
525	16215	14612
526	16243	14579
527	16276	14550
528	16313	14524
529	16339	14489
530	16364	14453
531	16386	14415
532	16409	14377
533	16432	14339
534	16459	14305
535	16487	14273
536	16514	14238
537	16546	14209
538	16577	14178
539	16605	14145
540	16633	14112
541	16661	14079
542	16688	14045
543	16713	14009
544	16744	13979
545	16771	13945
546	16796	13909
547	16823	13876
548	16852	13843
549	16880	13810
550	16908	13778
551	16937	13746
552	16964	13712
553	16993	13680
554	17020	13647
555	17046	13612
556	17074	13580
557	17101	13546
558	17127	13511
559	17157	13481
560	17190	13451
561	17219	13420
562	17246	13386
563	17274	13353
564	17302	13321
565	17331	13289
566	17358	13256
567	17384	13221
568	17408	13186
569	17436	13154
570	17465	13121
571	17493	13089
572	17520	13056
573	17550	13025
574	17578	12992
575	17603	12957
576	17631	12925
577	17657	12892
578	17686	12859
579	17713	12827
580	17743	12795
581	17771	12763
582	17799	12731
583	17826	12698
584	17854	12665
585	17882	12633
586	17911	12601
587	17938	12569
588	17967	12537
589	17995	12505
590	18028	12476
591	18055	12443
592	18078	12408
593	18106	12375
594	18135	12344
595	18163	12312
596	18197	12284
597	18224	12251
598	18252	12218
599	18278	12185
600	18306	12153
601	18337	12123
602	18367	12092
603	18394	12059
604	18423	12028
605	18458	12000
606	18490	11971
607	18518	11939
608	18550	11910
609	18579	11878
610	18606	11846
611	18641	11818
612	18673	11789
613	18710	11762
614	18744	11734
615	18777	11705
616	18824	11685
617	18854	11654
618	18895	11630
619	18922	11597
620	18955	11568
621	18983	11536
622	19014	11506
623	19051	11479
624	19081	11448
625	19113	11419
626	19140	11386
627	19177	11359
628	19214	11333
629	19250	11306
630	19284	11277
631	19314	11246
632	19350	11219
633	19380	11188
634	19409	11156
635	19438	11125
636	19462	11091
637	19489	11058
638	19521	11028
639	19555	11000
640	19586	10969
641	19621	10941
642	19656	10913
643	19684	10881
644	19715	10851
645	19742	10818
646	19773	10788
647	19800	10755
648	19831	10725
649	19867	10697
650	19898	10667
651	19931	10638
652	19962	10608
653	19985	10573
654	20012	10541
655	20042	10509
656	20068	10477
657	20096	10445
658	20125	10414
659	20155	10383
660	20188	10353
661	20220	10324
662	20247	10291
663	20278	10261
664	20311	10232
665	20345	10203
666	20372	10170
667	20401	10139
668	20427	10106
669	20453	10074
670	20493	10048
671	20527	10019
672	20558	9988
673	20592	9960
674	20618	9927
675	20649	9897
676	20686	9869
677	20721	9841
678	20752	9810
679	20784	9781
680	20813	9749
681	20842	9718
682	20873	9688
683	20921	9665
684	20953	9635
685	20983	9604
686	21013	9573
687	21040	9541
688	21070	9510
689	21096	9478
690	21125	9446
691	21153	9415
692	21187	9386
693	21226	9359
694	21252	9326
695	21294	9301
696	21317	9267
697	21349	9237
698	21370	9202
699	21393	9168
700	21421	9137
701	21447	9104
702	21476	9073
703	21505	9042
704	21533	9010
705	21561	8978
706	21590	8947
707	21618	8915
708	21652	8887
709	21682	8856
710	21711	8824
711	21738	8793
712	21767	8761
713	21795	8730
714	21823	8699
715	21855	8668
716	21881	8636
717	21906	8603
718	21935	8572
719	21966	8542
720	21996	8511
721	22023	8480
722	22051	8448
723	22085	8419
724	22111	8387
725	22138	8355
726	22226	8346
727	22286	8327
728	22352	8309
729	22397	8284
730	22432	8254
731	22456	8221
732	22485	8190
733	22513	8158
734	22541	8127
735	22577	8098
736	22603	8066
737	22629	8033
738	22652	8000
739	22679	7968
740	22709	7937
741	22741	7907
742	22770	7876
743	22800	7845
744	22834	7815
745	22865	7785
746	22903	7756
747	22945	7730
748	22977	7700
749	23004	7668
750	23031	7636
751	23064	7606
752	23089	7573
753	23119	7542
754	23148	7511
755	23180	7481
756	23208	7450
757	23239	7419
758	23265	7387
759	23289	7354
760	23311	7321
761	23337	7288
762	23359	7255
763	23386	7224
764	23414	7192
765	23443	7161
766	23473	7130
767	23502	7099
768	23530	7068
769	23556	7036
770	23583	7004
771	23612	6973
772	23640	6942
773	23669	6911
774	23697	6879
775	23724	6848
776	23755	6817
777	23781	6786
778	23809	6754
779	23839	6724
780	23868	6692
781	23895	6661
782	23922	6629
783	23949	6598
784	23979	6567
785	24006	6536
786	24035	6505
787	24063	6474
788	24091	6442
789	24121	6412
790	24150	6381
791	24182	6350
792	24213	6320
793	24239	6288
794	24274	6259
795	24308	6229
796	24344	6200
797	24371	6169
798	24398	6137
799	24424	6106
800	24456	6075
801	24489	6045
802	24519	6015
803	24546	5983
804	24576	5953
805	24604	5922
806	24631	5890
807	24658	5859
808	24687	5828
809	24715	5797
810	24745	5766
811	24778	5736
812	24803	5705
813	24831	5674
814	24859	5642
815	24886	5611
816	24913	5580
817	24949	5551
818	24981	5520
819	25019	5492
820	25053	5462
821	25090	5433
822	25121	5402
