iter	MultiClass
483	0.935644797
484	0.9347568272
485	0.9339796925
486	0.9334678389
487	0.9329244342
488	0.9322934547
489	0.9314416078
490	0.9306903867
491	0.9299510282
492	0.9294886961
493	0.9289503589
494	0.9284721644
495	0.927801318
496	0.9270774445
497	0.9266045844
498	0.9261932514
499	0.9260215299
500	0.9255693332
501	0.9253224147
502	0.9250108409
503	0.9240465294
504	0.9234342626
505	0.9227988652
506	0.9224396337
507	0.9218925619
508	0.9213042528
509	0.9208439137
510	0.9203359812
511	0.9199020397
512	0.9196361884
513	0.9191232665
514	0.918526078
515	0.9180885124
516	0.9174998686
517	0.9167703846
518	0.9162170493
519	0.9158044359
520	0.9153367678
521	0.9150928409
522	0.9149035307
523	0.9142062116
524	0.9137974669
525	0.9135665037
526	0.9133048269
527	0.9128634272
528	0.912196942
529	0.911760432
530	0.9115335511
531	0.91104085
532	0.9105791268
533	0.9100687992
534	0.9096236548
535	0.9092589763
536	0.9090270148
537	0.9085295338
538	0.9080909952
539	0.9074563988
540	0.9068948441
541	0.9063087125
542	0.906114626
543	0.9058473422
544	0.9053487408
545	0.9049987435
546	0.9048064778
547	0.9045722997
548	0.9038766684
549	0.9036613536
550	0.9032437936
551	0.9026273949
552	0.9021715844
553	0.9016612216
554	0.9013754057
555	0.900854912
556	0.8999535705
557	0.8997310632
558	0.8993849226
559	0.8990360048
560	0.8985247973
561	0.8982312486
562	0.8978346115
563	0.8974593709
564	0.8971770863
565	0.8966843406
566	0.8961073742
567	0.8957626253
568	0.8952740905
569	0.8946435224
570	0.8943981399
571	0.8938358583
572	0.8935357601
573	0.8931427392
574	0.8927066898
575	0.8923713752
576	0.8919968056
577	0.8916316418
578	0.8913821434
579	0.8909188716
580	0.8904449157
581	0.889783258
582	0.8891816356
583	0.8884981215
584	0.8881752092
585	0.8876995383
586	0.8872432539
587	0.8868025191
588	0.8863221092
589	0.8856770445
590	0.8852662897
591	0.8848018237
592	0.8843596531
593	0.8837985621
594	0.8833318404
595	0.8829482912
596	0.8825177275
597	0.8818465523
598	0.8814567709
599	0.8811396212
600	0.8803270815
601	0.8800235572
602	0.8797833732
603	0.87935255
604	0.8791360277
605	0.8786140205
606	0.8777293704
607	0.8773788636
608	0.8770728489
609	0.8766039217
610	0.8764252225
611	0.8760276756
612	0.8755963952
613	0.8751810985
614	0.8748200936
615	0.8744217038
616	0.8741235774
617	0.8738324513
618	0.8734046975
619	0.87300926
620	0.8727783711
621	0.8722847637
622	0.8717719637
623	0.8713716447
624	0.870804975
625	0.8701600558
626	0.8696770134
627	0.8691448659
628	0.8685310464
629	0.8681242177
630	0.8678172806
631	0.8674041241
632	0.866860813
633	0.8664002525
634	0.8662134301
635	0.8658236472
636	0.8655540575
637	0.8651622671
638	0.8648281346
639	0.8644177204
640	0.8638337721
641	0.8635683831
642	0.8631664433
643	0.862849961
644	0.8626186032
645	0.8622193032
646	0.8618075984
647	0.8614118334
648	0.8610585588
649	0.860480786
650	0.8601712704
651	0.8596082654
652	0.8592322782
653	0.8590099371
654	0.8587596096
655	0.8583302049
656	0.8578015689
657	0.8572895719
658	0.8569941078
659	0.8565934644
660	0.8562872693
661	0.8557173214
662	0.8554093593
663	0.855054267
664	0.854364086
665	0.8538633785
666	0.8534423877
667	0.8529544886
668	0.8527850661
669	0.8522958225
670	0.851770272
671	0.8512039344
672	0.8507334816
673	0.850439153
674	0.8501108241
675	0.8496629613
676	0.8493471214
677	0.8491558146
678	0.8490235076
679	0.848596706
680	0.8479148416
681	0.8476956997
682	0.8471278856
683	0.8469023182
684	0.8464806351
685	0.846148922
686	0.8457551996
687	0.845423219
688	0.8451518241
689	0.8449341982
690	0.8446168511
691	0.8443443141
692	0.8438032977
693	0.8432743205
694	0.8429000934
695	0.8424105599
696	0.8419100124
697	0.84152421
698	0.8412070773
699	0.8405512464
700	0.8401389383
701	0.8398441702
702	0.8395969715
703	0.839272522
704	0.8388284132
705	0.8385524148
706	0.8382121817
707	0.8378430932
708	0.8374567558
709	0.8371925149
710	0.8369313086
711	0.8366146964
712	0.8360650356
713	0.8356140669
714	0.8351484302
715	0.8346309952
716	0.8341675274
717	0.8338668056
718	0.8334603778
719	0.8328331202
720	0.8321210709
721	0.8318271016
722	0.8315213874
723	0.8311140828
724	0.8307089417
725	0.8303149148
726	0.8295114667
727	0.829207371
728	0.8289795803
729	0.8283175079
730	0.8278573084
731	0.8273433001
732	0.8269996756
733	0.8267649834
734	0.8263055481
735	0.8258362522
736	0.8251587612
737	0.8248665211
738	0.8244506159
739	0.8240079799
740	0.8238966657
741	0.8235579585
742	0.8231639888
743	0.8224992911
744	0.8218938741
745	0.8216021525
746	0.8211815236
747	0.820868193
748	0.8203949808
749	0.8201348917
750	0.8195229492
751	0.8189527125
752	0.8185050293
753	0.8181309282
754	0.817752804
755	0.8173258379
756	0.8169119729
757	0.8165897395
758	0.8161914404
759	0.8156426642
760	0.8153710473
761	0.8148396362
762	0.8145056446
763	0.8138933579
764	0.8134837188
765	0.8130318092
766	0.8125798285
767	0.8120686239
768	0.8117793286
769	0.8114042836
770	0.8111194204
771	0.8108989121
772	0.8105178988
773	0.8101942037
774	0.8100166582
775	0.8097384615
776	0.8093943286
777	0.8089659931
778	0.8085848537
779	0.8083791758
780	0.8078772818
781	0.8075823202
782	0.8073081988
783	0.8069983624
784	0.8067621113
785	0.806285402
786	0.8056367236
787	0.8051573235
788	0.8047619318
789	0.8043760606
790	0.8042028427
791	0.803578085
792	0.8031550919
793	0.8027647129
794	0.8024864608
795	0.8022229619
796	0.8019138757
797	0.8015879079
798	0.8013063496
799	0.800893509
800	0.8005703849
801	0.8000734135
802	0.7997158909
803	0.7994044467
804	0.798825281
805	0.7984575595
806	0.7980957548
807	0.7977964207
808	0.7973410967
809	0.7969035196
810	0.7961937734
811	0.7958485577
812	0.7956964702
813	0.7951598333
814	0.7945033628
815	0.7941207098
816	0.7937416206
817	0.7935062048
818	0.7928628445
819	0.7924671435
820	0.7921412235
821	0.7916343104
822	0.7914320554
823	0.7911630197
824	0.7908137403
825	0.7904168226
826	0.7901404338
827	0.7895584764
828	0.7890928335
829	0.7886856247
830	0.7882109646
831	0.7880254418
832	0.7876359269
833	0.7872996994
834	0.7867083929
835	0.7862898215
836	0.7861876193
837	0.7860005786
838	0.7855034726
839	0.7851458157
840	0.7848625417
841	0.7843184914
842	0.7840482622
843	0.7836240955
844	0.7834480812
845	0.7832658424
846	0.7829091714
847	0.7826675395
848	0.7822147034
849	0.7817995608
850	0.7814713752
851	0.781096072
852	0.7808316427
853	0.7803301797
854	0.779993084
855	0.7796171972
856	0.7792789699
857	0.7788875985
858	0.7784157764
859	0.7780741202
860	0.7775641827
861	0.7772493031
862	0.7766630214
863	0.7765376249
864	0.7761440695
865	0.7756834829
866	0.7752720926
867	0.7748934532
868	0.7745486976
869	0.774291538
870	0.7739289701
871	0.773636934
872	0.7731746568
873	0.7727533059
874	0.7724414842
875	0.7721122883
876	0.7715708697
877	0.7711786529
878	0.770727782
879	0.770593861
880	0.7704550342
881	0.7700325698
882	0.7695622413
883	0.7693195286
884	0.7686902612
885	0.7683309516
886	0.7680794283
887	0.7676594605
888	0.7672421142
889	0.7669255705
890	0.7665232441
891	0.7659998723
892	0.7655935557
893	0.7652652966
894	0.7649241085
895	0.7646946966
896	0.7643872928
897	0.7642483354
898	0.7637616239
899	0.7634118702
900	0.7629256534
901	0.7625690384
902	0.7622049551
903	0.7617038024
904	0.7612284156
905	0.7608708461
906	0.7604673304
907	0.7601977583
908	0.7599106816
909	0.7594445907
910	0.7592584983
911	0.7591196639
912	0.7587752232
913	0.7584193036
914	0.7582364722
915	0.7579204819
916	0.7575691324
917	0.7571508136
918	0.7568541083
919	0.7566237878
920	0.7561439381
921	0.7558514321
922	0.7556389773
923	0.7551247635
924	0.7547568336
925	0.7543423514
926	0.7541269675
927	0.7536934958
928	0.7533004255
929	0.7529720433
930	0.7526220447
931	0.7523217602
932	0.7517929411
933	0.7513426314
934	0.7510261322
935	0.7505846442
936	0.7501981789
937	0.7497884394
938	0.7494056591
939	0.7490581299
940	0.7485807545
941	0.7484229377
942	0.7480297389
943	0.7477872196
944	0.7474385083
945	0.7472707389
946	0.7468560573
947	0.746413533
948	0.7460839386
949	0.7457327311
950	0.7451567063
951	0.7445720326
952	0.7441619521
953	0.7437634636
954	0.7435008173
955	0.7430893033
956	0.7426776981
957	0.7425690826
958	0.7424069239
959	0.7419433851
960	0.7416569525
961	0.7413544287
962	0.7410873688
963	0.7407328612
964	0.7401283187
965	0.739755564
966	0.7395482381
967	0.7392618358
968	0.7388354679
969	0.738531438
970	0.7382152666
971	0.7377184958
972	0.7370747813
973	0.7366454612
974	0.7362698369
975	0.7359595422
976	0.7356770734
977	0.735212857
978	0.7349264133
979	0.7346479214
980	0.7342800508
981	0.7340091943
982	0.7337587336
983	0.7333966763
984	0.7332446027
985	0.7328448131
986	0.732437503
987	0.7321571984
988	0.7317610565
989	0.7315569205
990	0.7313583897
991	0.7311347228
992	0.7306900705
993	0.7303641869
994	0.7299250736
995	0.7295555748
996	0.7292645404
997	0.7288351534
998	0.7284806184
999	0.7281739173
