month, format: day,hour,forecast,3시간기온,6시간적설,풍향,풍속,강수형태,습도,6시간강수량,하늘상태,일최고기온,일최저기온,강수확률
1, 1,1100.0,19.0,-0.9,,330.0,7.3,0.0,46.0,,2.0,,,10.0
1, 1,1100.0,22.0,-2.6,0.0,330.0,7.9,0.0,57.0,0.0,1.0,,,0.0
1, 1,1100.0,25.0,-3.6,,340.0,4.4,0.0,64.0,,1.0,,,0.0
1, 1,1100.0,28.0,-5.4,0.0,341.0,4.3,0.0,68.0,0.0,1.0,,,0.0
1, 1,1100.0,31.0,-6.0,,337.0,2.4,0.0,77.0,,1.0,,,0.0
1, 1,1100.0,34.0,-6.7,0.0,340.0,1.6,0.0,88.0,0.0,2.0,,,11.0
1, 1,1100.0,37.0,-4.2,,356.0,1.2,0.0,76.0,,3.0,,,20.0
1, 1,1100.0,40.0,-0.7,0.0,143.0,1.9,0.0,55.0,0.0,3.0,,,20.0
1, 1,1100.0,43.0,1.9,,176.0,2.1,0.0,50.0,,3.0,,,20.0
1, 1,1100.0,46.0,-0.1,0.0,176.0,2.6,0.0,69.0,0.0,3.0,,,20.0
1, 1,1100.0,49.0,-1.2,,169.0,1.8,0.0,72.0,,3.0,,,20.0
1, 1,1100.0,52.0,-2.3,0.0,164.0,1.8,0.0,81.0,0.0,3.0,,,20.0
1, 1,1400.0,4.0,-5.7,,332.0,3.2,0.0,67.0,,3.0,0.0,-6.7,18.0
1, 1,1400.0,7.0,-5.7,0.0,357.0,2.2,0.0,84.0,0.0,4.0,2.9,-7.7,27.0
1, 1,1400.0,10.0,-4.8,,48.0,2.6,3.0,74.0,,4.0,,,58.0
1, 1,1400.0,13.0,-1.9,5.0,358.0,2.7,3.0,60.0,5.0,4.0,,,59.0
1, 1,1400.0,16.0,-0.9,,330.0,7.3,0.0,46.0,,2.0,,,10.0
1, 1,1400.0,19.0,-2.6,0.0,330.0,7.9,0.0,57.0,0.0,1.0,,,0.0
1, 1,1400.0,22.0,-3.6,,340.0,4.4,0.0,64.0,,1.0,,,0.0
1, 1,1400.0,25.0,-5.4,0.0,341.0,4.3,0.0,68.0,0.0,1.0,,,0.0
1, 1,1400.0,28.0,-6.0,,337.0,2.4,0.0,77.0,,1.0,,,0.0
1, 1,1400.0,31.0,-6.7,0.0,340.0,1.6,0.0,88.0,0.0,2.0,,,11.0
1, 1,1400.0,34.0,-4.2,,356.0,1.2,0.0,76.0,,3.0,,,20.0
1, 1,1400.0,37.0,-0.7,0.0,143.0,1.9,0.0,55.0,0.0,3.0,,,20.0
1, 1,1400.0,40.0,1.9,,176.0,2.1,0.0,50.0,,3.0,,,20.0
1, 1,1400.0,43.0,-0.1,0.0,176.0,2.6,0.0,69.0,0.0,3.0,,,20.0
1, 1,1400.0,46.0,-1.2,,169.0,1.8,0.0,72.0,,3.0,,,20.0
1, 1,1400.0,49.0,-2.3,0.0,164.0,1.8,0.0,81.0,0.0,3.0,,,20.0
1, 1,1700.0,4.0,-5.6,0.0,357.0,2.2,0.0,84.0,0.0,4.0,0.0,-6.7,27.0
1, 1,1700.0,7.0,-4.8,,48.0,2.6,3.0,74.0,,4.0,2.9,-7.7,58.0
1, 1,1700.0,10.0,-1.9,5.0,358.0,2.7,3.0,60.0,5.0,4.0,,,59.0
1, 1,1700.0,13.0,-0.9,,330.0,7.3,0.0,46.0,,2.0,,,10.0
1, 1,1700.0,16.0,-2.6,0.0,330.0,7.9,0.0,57.0,0.0,1.0,,,0.0
1, 1,1700.0,19.0,-3.6,,340.0,4.4,0.0,64.0,,1.0,,,0.0
1, 1,1700.0,22.0,-5.4,0.0,341.0,4.3,0.0,68.0,0.0,1.0,,,0.0
1, 1,1700.0,25.0,-6.0,,337.0,2.4,0.0,77.0,,1.0,,,0.0
1, 1,1700.0,28.0,-6.7,0.0,340.0,1.6,0.0,88.0,0.0,2.0,,,11.0
1, 1,1700.0,31.0,-4.2,,356.0,1.2,0.0,76.0,,3.0,,,20.0
1, 1,1700.0,34.0,-0.7,0.0,143.0,1.9,0.0,55.0,0.0,3.0,,,20.0
