 format: day,hour,forecast,value  location:53_114 Start : 20210101 ,month
 1,200.0,7.0,1.0,1
 1,200.0,13.0,0.0,1
 1,200.0,19.0,0.0,1
 1,200.0,25.0,0.0,1
 1,200.0,31.0,0.0,1
 1,200.0,37.0,0.0,1
 1,200.0,43.0,0.0,1
 1,200.0,49.0,0.0,1
 1,200.0,55.0,0.0,1
 1,200.0,61.0,0.0,1
 1,500.0,4.0,1.0,1
 1,500.0,10.0,0.0,1
 1,500.0,16.0,0.0,1
 1,500.0,22.0,0.0,1
 1,500.0,28.0,0.0,1
 1,500.0,34.0,0.0,1
 1,500.0,40.0,0.0,1
 1,500.0,46.0,0.0,1
 1,500.0,52.0,0.0,1
 1,500.0,58.0,0.0,1
 1,800.0,7.0,0.0,1
 1,800.0,13.0,0.0,1
 1,800.0,19.0,0.0,1
 1,800.0,25.0,0.0,1
 1,800.0,31.0,0.0,1
 1,800.0,37.0,0.0,1
 1,800.0,43.0,0.0,1
 1,800.0,49.0,0.0,1
 1,800.0,55.0,0.0,1
 1,1100.0,4.0,0.0,1
 1,1100.0,10.0,0.0,1
 1,1100.0,16.0,0.0,1
 1,1100.0,22.0,0.0,1
 1,1100.0,28.0,0.0,1
 1,1100.0,34.0,0.0,1
 1,1100.0,40.0,0.0,1
 1,1100.0,46.0,0.0,1
 1,1100.0,52.0,0.0,1
 1,1400.0,7.0,1.0,1
 1,1400.0,13.0,0.0,1
 1,1400.0,19.0,0.0,1
 1,1400.0,25.0,0.0,1
 1,1400.0,31.0,0.0,1
 1,1400.0,37.0,0.0,1
 1,1400.0,43.0,0.0,1
 1,1400.0,49.0,0.0,1
 1,1700.0,4.0,0.0,1
 1,1700.0,10.0,0.0,1
 1,1700.0,16.0,0.0,1
 1,1700.0,22.0,0.0,1
 1,1700.0,28.0,0.0,1
 1,1700.0,34.0,0.0,1
 1,1700.0,40.0,0.0,1
 1,1700.0,46.0,0.0,1
 1,2000.0,7.0,0.0,1
 1,2000.0,13.0,0.0,1
 1,2000.0,19.0,0.0,1
 1,2000.0,25.0,0.0,1
 1,2000.0,31.0,0.0,1
 1,2000.0,37.0,0.0,1
 1,2000.0,43.0,0.0,1
 1,2000.0,49.0,0.0,1
 1,2000.0,55.0,0.0,1
 1,2000.0,61.0,0.0,1
 1,2000.0,67.0,1.0,1
 1,2300.0,4.0,0.0,1
 1,2300.0,10.0,0.0,1
 1,2300.0,16.0,0.0,1
 1,2300.0,22.0,0.0,1
 1,2300.0,28.0,0.0,1
 1,2300.0,34.0,0.0,1
 1,2300.0,40.0,0.0,1
 1,2300.0,46.0,0.0,1
 1,2300.0,52.0,0.0,1
 1,2300.0,58.0,0.0,1
 1,2300.0,64.0,1.0,1
 2,200.0,7.0,0.0,1
 2,200.0,13.0,0.0,1
 2,200.0,19.0,0.0,1
 2,200.0,25.0,0.0,1
 2,200.0,31.0,0.0,1
 2,200.0,37.0,0.0,1
 2,200.0,43.0,0.0,1
 2,200.0,49.0,0.0,1
 2,200.0,55.0,0.0,1
 2,200.0,61.0,1.0,1
 2,500.0,4.0,0.0,1
 2,500.0,10.0,0.0,1
 2,500.0,16.0,0.0,1
 2,500.0,22.0,0.0,1
 2,500.0,28.0,0.0,1
 2,500.0,34.0,0.0,1
 2,500.0,40.0,0.0,1
 2,500.0,46.0,0.0,1
 2,500.0,52.0,0.0,1
 2,500.0,58.0,1.0,1
 2,800.0,7.0,0.0,1
 2,800.0,13.0,0.0,1
 2,800.0,19.0,0.0,1
 2,800.0,25.0,0.0,1
 2,800.0,31.0,0.0,1
 2,800.0,37.0,0.0,1
 2,800.0,43.0,0.0,1
 2,800.0,49.0,0.0,1
 2,800.0,55.0,1.0,1
 2,1100.0,4.0,0.0,1
 2,1100.0,10.0,0.0,1
 2,1100.0,16.0,0.0,1
 2,1100.0,22.0,0.0,1
 2,1100.0,28.0,0.0,1
 2,1100.0,34.0,0.0,1
 2,1100.0,40.0,0.0,1
 2,1100.0,46.0,0.0,1
 2,1100.0,52.0,1.0,1
 2,1400.0,7.0,0.0,1
 2,1400.0,13.0,0.0,1
 2,1400.0,19.0,0.0,1
 2,1400.0,25.0,0.0,1
 2,1400.0,31.0,0.0,1
 2,1400.0,37.0,0.0,1
 2,1400.0,43.0,0.0,1
 2,1400.0,49.0,1.0,1
 2,1700.0,4.0,0.0,1
 2,1700.0,10.0,0.0,1
 2,1700.0,16.0,0.0,1
 2,1700.0,22.0,0.0,1
 2,1700.0,28.0,0.0,1
 2,1700.0,34.0,0.0,1
 2,1700.0,40.0,0.0,1
 2,1700.0,46.0,1.0,1
 2,2000.0,7.0,0.0,1
 2,2000.0,13.0,0.0,1
 2,2000.0,19.0,0.0,1
 2,2000.0,25.0,0.0,1
 2,2000.0,31.0,0.0,1
 2,2000.0,37.0,0.0,1
 2,2000.0,43.0,1.0,1
 2,2000.0,49.0,1.0,1
 2,2000.0,55.0,0.0,1
 2,2000.0,61.0,0.0,1
 2,2000.0,67.0,0.0,1
 2,2300.0,4.0,0.0,1
 2,2300.0,10.0,0.0,1
 2,2300.0,16.0,0.0,1
 2,2300.0,22.0,0.0,1
 2,2300.0,28.0,0.0,1
 2,2300.0,34.0,0.0,1
 2,2300.0,40.0,1.0,1
 2,2300.0,46.0,1.0,1
 2,2300.0,52.0,0.0,1
 2,2300.0,58.0,0.0,1
 2,2300.0,64.0,0.0,1
 3,200.0,7.0,0.0,1
 3,200.0,13.0,0.0,1
 3,200.0,19.0,0.0,1
 3,200.0,25.0,0.0,1
