 format: day,hour,forecast,value  location:53_114 Start : 20160101 ,month
1,200.0,4.0,2.5,1
1,200.0,7.0,2.9,1
1,500.0,4.0,2.5,1
1,500.0,7.0,2.9,1
1,800.0,4.0,2.3,1
1,800.0,7.0,2.4,1
1,1100.0,4.0,2.3,1
1,1100.0,7.0,2.4,1
1,1400.0,4.0,3.0,1
1,1400.0,7.0,2.4,1
1,1700.0,4.0,2.9,1
1,1700.0,7.0,2.4,1
1,2000.0,4.0,3.2,1
1,2000.0,7.0,2.5,1
1,2300.0,4.0,3.2,1
1,2300.0,7.0,2.5,1
2,200.0,4.0,3.2,1
2,200.0,7.0,2.5,1
2,500.0,4.0,3.5,1
2,500.0,7.0,2.5,1
2,800.0,4.0,1.9,1
2,800.0,7.0,3.2,1
2,1100.0,4.0,1.9,1
2,1100.0,7.0,3.2,1
2,1400.0,4.0,2.5,1
2,1400.0,7.0,3.2,1
2,1700.0,4.0,2.5,1
2,1700.0,7.0,3.3,1
2,2000.0,4.0,3.0,1
2,2000.0,7.0,-1.1,1
2,2300.0,4.0,3.0,1
2,2300.0,7.0,-1.1,1
3,200.0,4.0,3.1,1
3,200.0,7.0,-1.5,1
3,500.0,4.0,3.0,1
3,500.0,7.0,-1.5,1
3,800.0,4.0,3.1,1
3,800.0,7.0,-1.7,1
3,1100.0,4.0,3.2,1
3,1100.0,7.0,-1.7,1
3,1400.0,4.0,3.2,1
3,1400.0,7.0,-1.1,1
3,1700.0,4.0,3.2,1
3,1700.0,7.0,-1.1,1
3,2000.0,4.0,-1.5,1
3,2000.0,7.0,-3.7,1
3,2300.0,4.0,-1.5,1
3,2300.0,7.0,-3.7,1
4,200.0,4.0,-1.6,1
4,200.0,7.0,-3.9,1
4,500.0,4.0,-1.6,1
4,500.0,7.0,-3.9,1
4,800.0,4.0,-1.6,1
4,800.0,7.0,-3.5,1
4,1100.0,4.0,-1.6,1
4,1100.0,7.0,-3.5,1
4,1400.0,4.0,-2.3,1
4,1400.0,7.0,-3.5,1
4,1700.0,4.0,-2.3,1
4,1700.0,7.0,-3.5,1
4,2000.0,4.0,-3.6,1
4,2000.0,7.0,-3.7,1
4,2300.0,4.0,-3.6,1
4,2300.0,7.0,-3.7,1
5,200.0,4.0,-3.6,1
5,200.0,7.0,-3.7,1
5,500.0,4.0,-3.6,1
5,500.0,7.0,-3.7,1
5,800.0,4.0,-4.3,1
5,800.0,7.0,-3.7,1
5,1100.0,4.0,-4.3,1
5,1100.0,7.0,-3.7,1
5,1400.0,4.0,-4.3,1
5,1400.0,7.0,-3.7,1
5,1700.0,4.0,-4.3,1
5,1700.0,7.0,-3.7,1
5,2000.0,4.0,-3.4,1
5,2000.0,7.0,-2.7,1
5,2300.0,4.0,-3.4,1
5,2300.0,7.0,-2.7,1
6,200.0,4.0,-3.4,1
6,200.0,7.0,-2.7,1
6,500.0,4.0,-3.4,1
6,500.0,7.0,-2.7,1
6,800.0,4.0,-2.8,1
6,800.0,7.0,-2.9,1
6,1100.0,4.0,-2.8,1
6,1100.0,7.0,-2.9,1
6,1400.0,4.0,-2.8,1
6,1400.0,7.0,-2.9,1
6,1700.0,4.0,-2.8,1
6,1700.0,7.0,-2.9,1
6,2000.0,4.0,-2.8,1
6,2000.0,7.0,-2.8,1
6,2300.0,4.0,-2.8,1
6,2300.0,7.0,-2.8,1
7,200.0,4.0,-2.8,1
7,200.0,7.0,-2.8,1
7,500.0,4.0,-2.8,1
7,500.0,7.0,-2.8,1
7,800.0,4.0,-2.9,1
7,800.0,7.0,-2.8,1
7,1100.0,4.0,-2.9,1
7,1100.0,7.0,-2.8,1
7,1400.0,4.0,-2.9,1
7,1400.0,7.0,-2.8,1
7,1700.0,4.0,-3.0,1
7,1700.0,7.0,-2.9,1
7,2000.0,4.0,-2.9,1
7,2000.0,7.0,-2.8,1
7,2300.0,4.0,-2.9,1
7,2300.0,7.0,-2.8,1
8,200.0,4.0,-3.1,1
8,200.0,7.0,-2.6,1
8,500.0,4.0,-3.1,1
8,500.0,7.0,-2.6,1
8,800.0,4.0,-3.2,1
8,800.0,7.0,-2.4,1
8,1100.0,4.0,-3.2,1
8,1100.0,7.0,-2.4,1
8,1400.0,4.0,-2.9,1
8,1400.0,7.0,-2.7,1
8,1700.0,4.0,-2.9,1
8,1700.0,7.0,-2.7,1
8,2000.0,4.0,-2.9,1
8,2000.0,7.0,-5.6,1
8,2300.0,4.0,-2.9,1
8,2300.0,7.0,-5.6,1
9,200.0,4.0,-2.3,1
9,200.0,7.0,-5.4,1
9,500.0,4.0,-2.3,1
9,500.0,7.0,-5.4,1
9,800.0,4.0,-1.5,1
9,800.0,7.0,-4.4,1
9,1100.0,4.0,-1.5,1
9,1100.0,7.0,-4.4,1
9,1400.0,4.0,-2.1,1
9,1400.0,7.0,-4.6,1
9,1700.0,4.0,-2.1,1
9,1700.0,7.0,-4.6,1
9,2000.0,4.0,-4.6,1
9,2000.0,7.0,-6.6,1
9,2300.0,4.0,-4.5,1
9,2300.0,7.0,-6.6,1
10,200.0,4.0,-4.6,1
10,200.0,7.0,-6.6,1
10,500.0,4.0,-4.6,1
10,500.0,7.0,-6.6,1
10,800.0,4.0,-4.7,1
10,800.0,7.0,-6.5,1
10,1100.0,4.0,-4.6,1
10,1100.0,7.0,-6.5,1
10,1400.0,4.0,-4.4,1
10,1400.0,7.0,-6.0,1
10,1700.0,4.0,-4.4,1
10,1700.0,7.0,-6.0,1
10,2000.0,4.0,-5.6,1
10,2000.0,7.0,-4.4,1
10,2300.0,4.0,-5.6,1
10,2300.0,7.0,-4.4,1
11,200.0,4.0,-6.2,1
11,200.0,7.0,-4.5,1
11,500.0,4.0,-6.2,1
11,500.0,7.0,-4.5,1
11,800.0,4.0,-6.3,1
11,800.0,7.0,-4.6,1
11,1100.0,4.0,-6.3,1
11,1100.0,7.0,-4.6,1
11,1400.0,4.0,-6.4,1
11,1400.0,7.0,-4.5,1
11,1700.0,4.0,-6.4,1
11,1700.0,7.0,-4.5,1
11,2000.0,4.0,-4.4,1
11,2000.0,7.0,-5.0,1
11,2300.0,4.0,-4.4,1
11,2300.0,7.0,-5.0,1
12,200.0,4.0,-4.4,1
12,200.0,7.0,-5.4,1
12,500.0,4.0,-4.5,1
12,500.0,7.0,-5.4,1
12,800.0,4.0,-4.3,1
12,800.0,7.0,-4.6,1
12,1100.0,4.0,-4.3,1
12,1100.0,7.0,-4.6,1
12,1400.0,4.0,-4.4,1
12,1400.0,7.0,-4.6,1
12,1700.0,4.0,-4.4,1
12,1700.0,7.0,-4.6,1
12,2000.0,4.0,-4.7,1
12,2000.0,7.0,-2.6,1
12,2300.0,4.0,-4.7,1
12,2300.0,7.0,-2.6,1
13,200.0,4.0,-4.7,1
13,200.0,7.0,-2.6,1
13,500.0,4.0,-4.7,1
13,500.0,7.0,-2.6,1
13,800.0,4.0,-4.5,1
13,800.0,7.0,-2.5,1
13,1100.0,4.0,-4.5,1
13,1100.0,7.0,-2.5,1
13,1400.0,4.0,-4.5,1
13,1400.0,7.0,-2.5,1
13,1700.0,4.0,-4.5,1
13,1700.0,7.0,-2.5,1
13,2000.0,4.0,-2.1,1
13,2000.0,7.0,-3.4,1
13,2300.0,4.0,-2.1,1
13,2300.0,7.0,-3.4,1
14,200.0,4.0,-2.1,1
14,200.0,7.0,-3.4,1
14,500.0,4.0,-2.1,1
14,500.0,7.0,-3.4,1
14,800.0,4.0,-2.2,1
14,800.0,7.0,-3.4,1
14,1100.0,4.0,-2.2,1
14,1100.0,7.0,-3.4,1
14,1400.0,4.0,-2.1,1
14,1400.0,7.0,-3.4,1
14,1700.0,4.0,-2.1,1
14,1700.0,7.0,-3.4,1
14,2000.0,4.0,-3.2,1
14,2000.0,7.0,-0.8,1
14,2300.0,4.0,-3.2,1
14,2300.0,7.0,-0.8,1
15,200.0,4.0,-3.2,1
15,200.0,7.0,-0.8,1
15,500.0,4.0,-3.2,1
15,500.0,7.0,-0.8,1
15,800.0,4.0,-3.2,1
15,800.0,7.0,-0.5,1
15,1100.0,4.0,-3.2,1
15,1100.0,7.0,-0.5,1
15,1400.0,4.0,-3.2,1
15,1400.0,7.0,-0.5,1
15,1700.0,4.0,-0.9,1
15,1700.0,7.0,-0.5,1
15,2000.0,4.0,-0.4,1
15,2000.0,7.0,-4.8,1
